Time Stamp: 332  Current (mA): -10607
Time Stamp: 2560         Current (mA): -10487
Time Stamp: 4788         Current (mA): -10325
Time Stamp: 7016         Current (mA): -10124
Time Stamp: 9244         Current (mA): -10003
Time Stamp: 11472        Current (mA): -9882
Time Stamp: 13700        Current (mA): -9614
Time Stamp: 15928        Current (mA): -9385
Time Stamp: 18156        Current (mA): -8956
Time Stamp: 20384        Current (mA): -8298
Time Stamp: 22612        Current (mA): -7814
Time Stamp: 24840        Current (mA): -7277
Time Stamp: 27068        Current (mA): -6606
Time Stamp: 29296        Current (mA): -5975
Time Stamp: 31524        Current (mA): -5465
Time Stamp: 33752        Current (mA): -4941
Time Stamp: 35980        Current (mA): -4404
Time Stamp: 38208        Current (mA): -3840
Time Stamp: 40436        Current (mA): -3236
Time Stamp: 42664        Current (mA): -2470
Time Stamp: 44892        Current (mA): -1853
Time Stamp: 47120        Current (mA): -1396
Time Stamp: 49348        Current (mA): -859
Time Stamp: 51576        Current (mA): -308
Time Stamp: 53804        Current (mA): 120
Time Stamp: 56032        Current (mA): 563
Time Stamp: 58260        Current (mA): 1007
Time Stamp: 60488        Current (mA): 1383
Time Stamp: 62716        Current (mA): 1960
Time Stamp: 64944        Current (mA): 2591
Time Stamp: 67172        Current (mA): 3397
Time Stamp: 69400        Current (mA): 3934
Time Stamp: 71628        Current (mA): 4538
Time Stamp: 73856        Current (mA): 5169
Time Stamp: 76084        Current (mA): 5666
Time Stamp: 78312        Current (mA): 6123
Time Stamp: 80540        Current (mA): 6713
Time Stamp: 82768        Current (mA): 7170
Time Stamp: 84996        Current (mA): 7438
Time Stamp: 87224        Current (mA): 8190
Time Stamp: 89452        Current (mA): 9077
Time Stamp: 91680        Current (mA): 9318
Time Stamp: 93908        Current (mA): 9520
Time Stamp: 96136        Current (mA): 10084
Time Stamp: 98364        Current (mA): 10352
Time Stamp: 100592       Current (mA): 10473
Time Stamp: 102820       Current (mA): 10809
Time Stamp: 105048       Current (mA): 11037
Time Stamp: 107276       Current (mA): 11037
Time Stamp: 109504       Current (mA): 11131
Time Stamp: 111732       Current (mA): 11252
Time Stamp: 113960       Current (mA): 11319
Time Stamp: 116188       Current (mA): 11386
Time Stamp: 118416       Current (mA): 11440
Time Stamp: 120644       Current (mA): 11453
Time Stamp: 122872       Current (mA): 11480
Time Stamp: 125100       Current (mA): 11453
Time Stamp: 127328       Current (mA): 11426
Time Stamp: 129556       Current (mA): 11373
Time Stamp: 131784       Current (mA): 11252
Time Stamp: 134012       Current (mA): 11158
Time Stamp: 136240       Current (mA): 11064
Time Stamp: 138468       Current (mA): 10930
Time Stamp: 140696       Current (mA): 10755
Time Stamp: 142924       Current (mA): 10621
Time Stamp: 145152       Current (mA): 10393
Time Stamp: 147380       Current (mA): 10258
Time Stamp: 149608       Current (mA): 9949
Time Stamp: 151836       Current (mA): 9466
Time Stamp: 154064       Current (mA): 8835
Time Stamp: 156292       Current (mA): 8338
Time Stamp: 158520       Current (mA): 7761
Time Stamp: 160748       Current (mA): 7103
Time Stamp: 162976       Current (mA): 6485
Time Stamp: 165204       Current (mA): 6002
Time Stamp: 167432       Current (mA): 5465
Time Stamp: 169660       Current (mA): 4914
Time Stamp: 171888       Current (mA): 4390
Time Stamp: 174116       Current (mA): 3867
Time Stamp: 176344       Current (mA): 3007
Time Stamp: 178572       Current (mA): 2202
Time Stamp: 180800       Current (mA): 1866
Time Stamp: 183028       Current (mA): 1436
Time Stamp: 185256       Current (mA): 832
Time Stamp: 187484       Current (mA): 349
Time Stamp: 189712       Current (mA): -53
Time Stamp: 191940       Current (mA): -456
Time Stamp: 194168       Current (mA): -899
Time Stamp: 196396       Current (mA): -1557
Time Stamp: 198624       Current (mA): -2215
Time Stamp: 200852       Current (mA): -2779
Time Stamp: 203080       Current (mA): -3464
Time Stamp: 205308       Current (mA): -4108
Time Stamp: 207536       Current (mA): -4632
Time Stamp: 209764       Current (mA): -5156
Time Stamp: 211992       Current (mA): -5653
Time Stamp: 214220       Current (mA): -6203
Time Stamp: 216448       Current (mA): -6660
Time Stamp: 218676       Current (mA): -7156
Time Stamp: 220904       Current (mA): -7747
Time Stamp: 223132       Current (mA): -8164
Time Stamp: 225360       Current (mA): -8472
Time Stamp: 227588       Current (mA): -8781
Time Stamp: 229816       Current (mA): -9090
Time Stamp: 232044       Current (mA): -9345
Time Stamp: 234272       Current (mA): -9547
Time Stamp: 236500       Current (mA): -9761
Time Stamp: 238728       Current (mA): -9936
Time Stamp: 240956       Current (mA): -10070
Time Stamp: 243184       Current (mA): -10164
Time Stamp: 245412       Current (mA): -10231
Time Stamp: 247640       Current (mA): -10352
Time Stamp: 249868       Current (mA): -10419
Time Stamp: 252096       Current (mA): -10473
Time Stamp: 254324       Current (mA): -10540
Time Stamp: 256552       Current (mA): -10581
Time Stamp: 258780       Current (mA): -10621
Time Stamp: 261008       Current (mA): -10648
Time Stamp: 263236       Current (mA): -10661
Time Stamp: 265464       Current (mA): -10648
Time Stamp: 267692       Current (mA): -10634
