tamp: 338. Current (mA): -5599
Time Stamp: 2571. Current (mA): -5075
Time Stamp: 4804. Current (mA): -4511
Time Stamp: 7037. Current (mA): -3894
Time Stamp: 9270. Current (mA): -3276
Time Stamp: 11503. Current (mA): -2524
Time Stamp: 13736. Current (mA): -1853
Time Stamp: 15969. Current (mA): -1396
Time Stamp: 18202. Current (mA): -845
Time Stamp: 20435. Current (mA): -255
Time Stamp: 22668. Current (mA): 201
Time Stamp: 24901. Current (mA): 590
Time Stamp: 27134. Current (mA): 1047
Time Stamp: 29367. Current (mA): 1289
Time Stamp: 31600. Current (mA): 1812
Time Stamp: 33833. Current (mA): 2322
Time Stamp: 36066. Current (mA): 3450
Time Stamp: 38299. Current (mA): 3894
Time Stamp: 40532. Current (mA): 4377
Time Stamp: 42765. Current (mA): 5048
Time Stamp: 44998. Current (mA): 5518
Time Stamp: 47231. Current (mA): 5975
Time Stamp: 49464. Current (mA): 6566
Time Stamp: 51697. Current (mA): 7103
Time Stamp: 53930. Current (mA): 7452
Time Stamp: 56163. Current (mA): 8123
Time Stamp: 58396. Current (mA): 8983
Time Stamp: 60629. Current (mA): 9305
Time Stamp: 62862. Current (mA): 9479
Time Stamp: 65095. Current (mA): 10043
Time Stamp: 67328. Current (mA): 10379
Time Stamp: 69561. Current (mA): 10419
Time Stamp: 71794. Current (mA): 10782
Time Stamp: 74027. Current (mA): 10997
Time Stamp: 76260. Current (mA): 11091
Time Stamp: 78493. Current (mA): 11185
Time Stamp: 80726. Current (mA): 11265
Time Stamp: 82959. Current (mA): 11319
Time Stamp: 85192. Current (mA): 11386
Time Stamp: 87425. Current (mA): 11426
Time Stamp: 89658. Current (mA): 11453
Time Stamp: 91891. Current (mA): 11453
Time Stamp: 94124. Current (mA): 11453
Time Stamp: 96357. Current (mA): 11426
Time Stamp: 98590. Current (mA): 11386
Time Stamp: 100823. Current (mA): 11265
Time Stamp: 103056. Current (mA): 11158
Time Stamp: 105289. Current (mA): 11050
Time Stamp: 107522. Current (mA): 10916
Time Stamp: 109755. Current (mA): 10742
Time Stamp: 111988. Current (mA): 10581
Time Stamp: 114221. Current (mA): 10393
Time Stamp: 116454. Current (mA): 10205
Time Stamp: 118687. Current (mA): 10043
Time Stamp: 120920. Current (mA): 9573
Time Stamp: 123153. Current (mA): 8848
Time Stamp: 125386. Current (mA): 8338
Time Stamp: 127619. Current (mA): 7814
Time Stamp: 129852. Current (mA): 7224
Time Stamp: 132085. Current (mA): 6646
Time Stamp: 134318. Current (mA): 6149
Time Stamp: 136551. Current (mA): 5653
Time Stamp: 138784. Current (mA): 5075
Time Stamp: 141017. Current (mA): 4431
Time Stamp: 143250. Current (mA): 3894
Time Stamp: 145483. Current (mA): 3115
Time Stamp: 147716. Current (mA): 2255
Time Stamp: 149949. Current (mA): 1879
Time Stamp: 152182. Current (mA): 1463
Time Stamp: 154415. Current (mA): 819
Time Stamp: 156648. Current (mA): 335
Time Stamp: 158881. Current (mA): -13
Time Stamp: 161114. Current (mA): -456
Time Stamp: 163347. Current (mA): -725
Time Stamp: 165580. Current (mA): -1423
Time Stamp: 167813. Current (mA): -2175
Time Stamp: 170046. Current (mA): -2739
Time Stamp: 172279. Current (mA): -3343
Time Stamp: 174512. Current (mA): -4001
Time Stamp: 176745. Current (mA): -4484
Time Stamp: 178978. Current (mA): -4927
Time Stamp: 181211. Current (mA): -5465
Time Stamp: 183444. Current (mA): -6055
Time Stamp: 185677. Current (mA): -6566
Time Stamp: 187910. Current (mA): -7103
Time Stamp: 190143. Current (mA): -7720
Time Stamp: 192376. Current (mA): -8123
Time Stamp: 194609. Current (mA): -8446
Time Stamp: 196842. Current (mA): -8768
Time Stamp: 199075. Current (mA): -9103
Time Stamp: 201308. Current (mA): -9345
Time Stamp: 203541. Current (mA): -9506
Time Stamp: 205774. Current (mA): -9721
Time Stamp: 208007. Current (mA): -9909
Time Stamp: 210240. Current (mA): -10057
Time Stamp: 212473. Current (mA): -10164
Time Stamp: 214706. Current (mA): -10205
Time Stamp: 216939. Current (mA): -10325
Time Stamp: 219172. Current (mA): -10379
Time Stamp: 221405. Current (mA): -10419
Time Stamp: 223638. Current (mA): -10487
Time Stamp: 225871. Current (mA): -10527
Time Stamp: 228104. Current (mA): -10554
Time Stamp: 230337. Current (mA): -10567
Time Stamp: 232570. Current (mA): -10581
Time Stamp: 234803. Current (mA): -10567
Time Stamp: 237036. Current (mA): -10540
Time Stamp: 239269. Current (mA): -10366
Time Stamp: 241502. Current (mA): -10218
Time Stamp: 243735. Current (mA): -10003
Time Stamp: 245968. Current (mA): -9923
Time Stamp: 248201. Current (mA): -9721
Time Stamp: 250434. Current (mA): -9493
Time Stamp: 252667. Current (mA): -9278
Time Stamp: 254900. Current (mA): -8728
Time Stamp: 257133. Current (mA): -8029
Time Stamp: 259366. Current (mA): -7546
Time Stamp: 261599. Current (mA): -7022
Time Stamp: 263832. Current (mA): -6378
Time Stamp: 266065. Current (mA): -5827

