Time Stamp: 332  Current (mA): -10836
Time Stamp: 2560         Current (mA): -10621
Time Stamp: 4788         Current (mA): -10433
Time Stamp: 7016         Current (mA): -10325
Time Stamp: 9244         Current (mA): -10178
Time Stamp: 11472        Current (mA): -9909
Time Stamp: 13700        Current (mA): -9654
Time Stamp: 15928        Current (mA): -9251
Time Stamp: 18156        Current (mA): -8620
Time Stamp: 20384        Current (mA): -8123
Time Stamp: 22612        Current (mA): -7573
Time Stamp: 24840        Current (mA): -6915
Time Stamp: 27068        Current (mA): -6297
Time Stamp: 29296        Current (mA): -5773
Time Stamp: 31524        Current (mA): -5263
Time Stamp: 33752        Current (mA): -4713
Time Stamp: 35980        Current (mA): -4149
Time Stamp: 38208        Current (mA): -3558
Time Stamp: 40436        Current (mA): -2819
Time Stamp: 42664        Current (mA): -2175
Time Stamp: 44892        Current (mA): -1745
Time Stamp: 47120        Current (mA): -1181
Time Stamp: 49348        Current (mA): -631
Time Stamp: 51576        Current (mA): -174
Time Stamp: 53804        Current (mA): 268
Time Stamp: 56032        Current (mA): 684
Time Stamp: 58260        Current (mA): 1101
Time Stamp: 60488        Current (mA): 1678
Time Stamp: 62716        Current (mA): 2282
Time Stamp: 64944        Current (mA): 3088
Time Stamp: 67172        Current (mA): 3638
Time Stamp: 69400        Current (mA): 4243
Time Stamp: 71628        Current (mA): 4860
Time Stamp: 73856        Current (mA): 5384
Time Stamp: 76084        Current (mA): 5841
Time Stamp: 78312        Current (mA): 6391
Time Stamp: 80540        Current (mA): 6874
Time Stamp: 82768        Current (mA): 7170
Time Stamp: 84996        Current (mA): 7895
Time Stamp: 87224        Current (mA): 8781
Time Stamp: 89452        Current (mA): 9009
Time Stamp: 91680        Current (mA): 9238
Time Stamp: 93908        Current (mA): 9775
Time Stamp: 96136        Current (mA): 10057
Time Stamp: 98364        Current (mA): 10191
Time Stamp: 100592       Current (mA): 10527
Time Stamp: 102820       Current (mA): 10742
Time Stamp: 105048       Current (mA): 10755
Time Stamp: 107276       Current (mA): 10849
Time Stamp: 109504       Current (mA): 10970
Time Stamp: 111732       Current (mA): 11037
Time Stamp: 113960       Current (mA): 11118
Time Stamp: 116188       Current (mA): 11171
Time Stamp: 118416       Current (mA): 11198
Time Stamp: 120644       Current (mA): 11198
Time Stamp: 122872       Current (mA): 11198
Time Stamp: 125100       Current (mA): 11171
Time Stamp: 127328       Current (mA): 11104
Time Stamp: 129556       Current (mA): 10997
Time Stamp: 131784       Current (mA): 10876
Time Stamp: 134012       Current (mA): 10782
Time Stamp: 136240       Current (mA): 10634
Time Stamp: 138468       Current (mA): 10500
Time Stamp: 140696       Current (mA): 10312
Time Stamp: 142924       Current (mA): 10137
Time Stamp: 145152       Current (mA): 9923
Time Stamp: 147380       Current (mA): 9667
Time Stamp: 149608       Current (mA): 9184
Time Stamp: 151836       Current (mA): 8566
Time Stamp: 154064       Current (mA): 8070
Time Stamp: 156292       Current (mA): 7479
Time Stamp: 158520       Current (mA): 6834
Time Stamp: 160748       Current (mA): 6217
Time Stamp: 162976       Current (mA): 5733
Time Stamp: 165204       Current (mA): 5209
Time Stamp: 167432       Current (mA): 4632
Time Stamp: 169660       Current (mA): 4122
Time Stamp: 171888       Current (mA): 3598
Time Stamp: 174116       Current (mA): 2752
Time Stamp: 176344       Current (mA): 1933
Time Stamp: 178572       Current (mA): 1611
Time Stamp: 180800       Current (mA): 1154
Time Stamp: 183028       Current (mA): 563
Time Stamp: 185256       Current (mA): 93
Time Stamp: 187484       Current (mA): -308
Time Stamp: 189712       Current (mA): -711
Time Stamp: 191940       Current (mA): -1168
Time Stamp: 194168       Current (mA): -1799
Time Stamp: 196396       Current (mA): -2443
Time Stamp: 198624       Current (mA): -3021
Time Stamp: 200852       Current (mA): -3706
Time Stamp: 203080       Current (mA): -4323
Time Stamp: 205308       Current (mA): -4847
Time Stamp: 207536       Current (mA): -5384
Time Stamp: 209764       Current (mA): -5881
Time Stamp: 211992       Current (mA): -6418
Time Stamp: 214220       Current (mA): -6901
Time Stamp: 216448       Current (mA): -7398
Time Stamp: 218676       Current (mA): -7908
Time Stamp: 220904       Current (mA): -8311
Time Stamp: 223132       Current (mA): -8634
Time Stamp: 225360       Current (mA): -8942
Time Stamp: 227588       Current (mA): -9265
Time Stamp: 229816       Current (mA): -9520
Time Stamp: 232044       Current (mA): -9694
Time Stamp: 234272       Current (mA): -9923
Time Stamp: 236500       Current (mA): -10097
Time Stamp: 238728       Current (mA): -10231
Time Stamp: 240956       Current (mA): -10325
Time Stamp: 243184       Current (mA): -10379
Time Stamp: 245412       Current (mA): -10513
Time Stamp: 247640       Current (mA): -10581
Time Stamp: 249868       Current (mA): -10634
Time Stamp: 252096       Current (mA): -10701
Time Stamp: 254324       Current (mA): -10755
Time Stamp: 256552       Current (mA): -10782
Time Stamp: 258780       Current (mA): -10822
Time Stamp: 261008       Current (mA): -10822
Time Stamp: 263236       Current (mA): -10822
Time Stamp: 265464       Current (mA): -10809
Time Stamp: 267692       Current (mA): -10795
