0.0	77
0.00013925	85
0.0002785	93
0.00041775	101
0.000557	109
0.00069625	117
0.0008355	126
0.00097475	135
0.001114	143
0.00125325	152
0.0013925	161
0.00153175	170
0.001671	179
0.00181025	188
0.0019495	197
0.00208875	205
0.002228	214
0.00236725	223
0.0025065	231
0.00264575	239
0.002785	247
0.00292425	255
0.0030635	263
0.00320275	270
0.003342	277
0.00348125	284
0.0036205	290
0.00375975	296
0.003899	302
0.00403825	307
0.0041775	312
0.00431675	317
0.004456	321
0.00459525	325
0.0047345	328
0.00487375	331
0.005013	334
0.00515225	336
0.0052915	337
0.00543075	339
0.00557	339
0.00570925	339
0.0058485	339
0.00598775	338
0.006127	337
0.00626625	335
0.0064055	333
0.00654475	331
0.006684	328
0.00682325	324
0.0069625	320
0.00710175	316
0.007241	311
0.00738025	306
0.0075195	301
0.00765875	295
0.007798	289
0.00793725	282
0.0080765	275
0.00821575	268
0.008355	261
0.00849425	253
0.0086335	245
0.00877275	237
0.008912	229
0.00905125	221
0.0091905	212
0.00932975	203
0.009469	195
0.00960825	186
0.0097475	177
0.00988675	168
0.010026	159
0.01016525	150
0.0103045	141
0.01044375	133
0.010583	124
0.01072225	116
0.0108615	107
0.01100075	99
0.01114	91
0.01127925	83
0.0114185	76
0.01155775	68
0.011697	61
0.01183625	55
0.0119755	48
0.01211475	42
0.012254	37
0.01239325	31
0.0125325	26
0.01267175	22
0.012811	18
0.01295025	14
0.0130895	11
0.01322875	8
0.013368	5
0.01350725	3
0.0136465	2
0.01378575	1
0.013925	0
0.01406425	0
0.0142035	0
0.01434275	1
0.014482	2
0.01462125	4
0.0147605	6
0.01489975	9
0.015039	12
0.01517825	16
0.0153175	20
0.01545675	24
0.015596	29
0.01573525	34
0.0158745	39
0.01601375	45
0.016153	52
0.01629225	58
0.0164315	65
0.01657075	72
