Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,3.2e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH4,CH4 Peak Detect
-1.96554e-02,1.8,1.8
-1.96550e-02,1.76,1.76
-1.96547e-02,1.76,1.8
-1.96544e-02,1.76,1.72
-1.96541e-02,1.76,1.84
-1.96538e-02,1.8,1.72
-1.96534e-02,1.8,1.8
-1.96531e-02,1.76,1.72
-1.96528e-02,1.76,1.8
-1.96525e-02,1.8,1.76
-1.96522e-02,1.8,1.8
-1.96518e-02,1.76,1.76
-1.96515e-02,1.8,1.8
-1.96512e-02,1.8,1.72
-1.96509e-02,1.8,1.8
-1.96506e-02,1.8,1.76
-1.96502e-02,1.8,1.8
-1.96499e-02,1.8,1.76
-1.96496e-02,1.8,1.8
-1.96493e-02,1.76,1.72
-1.96490e-02,1.8,1.84
-1.96486e-02,1.8,1.72
-1.96483e-02,1.76,1.84
-1.96480e-02,1.8,1.72
-1.96477e-02,1.76,1.8
-1.96474e-02,1.76,1.76
-1.96470e-02,1.76,1.84
-1.96467e-02,1.76,1.72
-1.96464e-02,1.76,1.8
-1.96461e-02,1.76,1.76
-1.96458e-02,1.8,1.8
-1.96454e-02,1.76,1.72
-1.96451e-02,1.76,1.8
-1.96448e-02,1.8,1.72
-1.96445e-02,1.76,1.8
-1.96442e-02,1.76,1.76
-1.96438e-02,1.8,1.84
-1.96435e-02,1.76,1.72
-1.96432e-02,1.8,1.84
-1.96429e-02,1.76,1.76
-1.96426e-02,1.8,1.8
-1.96422e-02,1.76,1.72
-1.96419e-02,1.8,1.8
-1.96416e-02,1.8,1.72
-1.96413e-02,1.8,1.8
-1.96410e-02,1.76,1.76
-1.96406e-02,1.76,1.8
-1.96403e-02,1.76,1.72
-1.96400e-02,1.76,1.8
-1.96397e-02,1.76,1.72
-1.96394e-02,1.76,1.84
-1.96390e-02,1.76,1.76
-1.96387e-02,1.8,1.84
-1.96384e-02,1.76,1.72
-1.96381e-02,1.76,1.8
-1.96378e-02,1.76,1.76
-1.96374e-02,1.76,1.8
-1.96371e-02,1.76,1.72
-1.96368e-02,1.76,1.8
-1.96365e-02,1.8,1.72
-1.96362e-02,1.76,1.84
-1.96358e-02,1.76,1.72
-1.96355e-02,1.76,1.8
-1.96352e-02,1.76,1.72
-1.96349e-02,1.76,1.8
-1.96346e-02,1.76,1.76
-1.96342e-02,1.8,1.8
-1.96339e-02,1.76,1.76
-1.96336e-02,1.8,1.84
-1.96333e-02,1.8,1.76
-1.96330e-02,1.76,1.8
-1.96326e-02,1.8,1.72
-1.96323e-02,1.8,1.8
-1.96320e-02,1.8,1.72
-1.96317e-02,1.76,1.8
-1.96314e-02,1.8,1.76
-1.96310e-02,1.8,1.84
-1.96307e-02,1.8,1.72
-1.96304e-02,1.8,1.8
-1.96301e-02,1.76,1.76
-1.96298e-02,1.76,1.84
-1.96294e-02,1.8,1.72
-1.96291e-02,1.8,1.8
-1.96288e-02,1.8,1.76
-1.96285e-02,1.8,1.84
-1.96282e-02,1.76,1.72
-1.96278e-02,1.8,1.84
-1.96275e-02,1.76,1.76
-1.96272e-02,1.76,1.84
-1.96269e-02,1.8,1.76
-1.96266e-02,1.8,1.84
-1.96262e-02,1.8,1.76
-1.96259e-02,1.8,1.84
-1.96256e-02,1.76,1.76
-1.96253e-02,1.8,1.8
-1.96250e-02,1.76,1.76
-1.96246e-02,1.76,1.8
-1.96243e-02,1.76,1.76
-1.96240e-02,1.8,1.84
-1.96237e-02,1.8,1.76
-1.96234e-02,1.76,1.8
-1.96230e-02,1.76,1.72
-1.96227e-02,1.8,1.84
-1.96224e-02,1.8,1.76
-1.96221e-02,1.8,1.84
-1.96218e-02,1.76,1.72
-1.96214e-02,1.76,1.84
-1.96211e-02,1.76,1.72
-1.96208e-02,1.76,1.84
-1.96205e-02,1.76,1.76
-1.96202e-02,1.76,1.8
-1.96198e-02,1.8,1.72
-1.96195e-02,1.8,1.84
-1.96192e-02,1.76,1.72
-1.96189e-02,1.8,1.84
-1.96186e-02,1.76,1.72
-1.96182e-02,1.76,1.8
-1.96179e-02,1.76,1.76
-1.96176e-02,1.76,1.84
-1.96173e-02,1.8,1.72
-1.96170e-02,1.76,1.84
-1.96166e-02,1.76,1.72
-1.96163e-02,1.8,1.84
-1.96160e-02,1.76,1.72
-1.96157e-02,1.76,1.84
-1.96154e-02,1.76,1.76
-1.96150e-02,1.76,1.84
-1.96147e-02,1.8,1.76
-1.96144e-02,1.76,1.8
-1.96141e-02,1.76,1.72
-1.96138e-02,1.8,1.84
-1.96134e-02,1.8,1.76
-1.96131e-02,1.76,1.84
-1.96128e-02,1.76,1.76
